line,brigade,lon,lat,time
152,1,21.004227,52.336369,2017-10-02 23:59:53
103,2,20.930866,52.291508,2017-10-02 23:59:48
127,8,20.913837,52.209472999999996,2017-10-02 23:59:51
188,1,21.109970999999998,52.24504,2017-10-02 23:59:48
411,52,21.014956,52.217308,2017-10-02 23:59:52
503,11,21.048561,52.143871000000004,2017-10-02 23:59:49
502,335,21.12775,52.234043,2017-10-02 23:59:53
164,2,21.0484271,52.1781016,2017-10-02 23:59:53
203,1,20.9237366,52.2809255,2017-10-02 23:59:56
108,61,21.0440763,52.21616029999999,2017-10-02 23:59:53
L30,1,21.13205,51.960751,2017-04-26 08:42:15
L28,1,21.124716,52.024803000000006,2017-04-26 08:42:05
213,3,21.204938000000002,52.167567,2017-10-02 23:59:57
702,1,21.239814000000003,52.132088,2017-10-02 23:59:57
715,2,21.017751999999998,52.162575,2017-10-02 23:59:52
715,1,20.931109,52.164043,2017-10-02 23:59:53
192,5,20.994186,52.188803,2017-10-03 00:00:01
108,3,21.087641,52.195143,2017-10-02 23:59:59
N46,1,20.987203,52.24899,2017-10-02 23:59:59
194,3,20.86368,52.207907,2017-10-03 00:00:00
194,4,20.930660999999997,52.225053,2017-10-03 00:00:03
N41,181,20.921426,52.196576,2017-10-02 22:32:57
N01,4,21.002423,52.177855,2017-10-02 23:59:58
739,1,21.042172,52.082603000000006,2017-10-03 00:00:00
165,3,21.00788,52.178093,2017-10-02 23:59:51
739,5,21.018198,52.128785,2017-10-02 23:59:54
N33,172,21.025854000000002,52.173417,2017-10-02 23:59:52
L11,5,20.941315,52.400791999999996,2017-10-03 00:00:00
L-9,1,20.937793,52.395647,2017-10-02 17:10:48
L11,3,20.778001999999997,52.43889300000001,2017-06-08 04:36:29
N95,191,20.890134,52.240140000000004,2017-10-03 00:00:00
N88,212,20.922772,52.196239,2017-10-03 00:00:00
197,1,20.920336,52.196919,2017-10-02 18:31:28
739,4,20.9979,52.188901,2017-10-03 00:00:01
N38,1,20.985078,52.220531,2017-10-02 23:59:49
N01,1,20.932682999999997,52.2685,2017-10-03 00:00:04
N91,183,20.876853,52.29052,2017-10-03 00:00:02
159,5,21.016438,52.223426,2017-10-03 00:00:03
739,3,21.03177,52.095376,2017-10-02 23:59:58
N32,2,20.978731,52.184015,2017-10-02 23:59:57
711,063,20.862435,52.116217999999996,2017-10-02 23:59:55
N01,3,20.980447,52.201778999999995,2017-10-03 00:00:03
N36,1,20.995515,52.170159999999996,2017-10-02 23:59:50
N44,1,20.991485,52.263263,2017-10-02 23:59:50
122,2,20.898751999999998,52.238858,2017-10-03 00:00:02
N46,2,20.927263,52.291162,2017-10-03 00:00:00
N01,2,20.924053,52.197016999999995,2017-10-03 00:00:04
134,1,21.052078,52.311488,2017-10-03 00:00:04
N64,215,21.035216000000002,52.254518,2017-10-02 23:59:56
Z20,2,21.037341,52.252299,2017-10-03 00:00:04
N46,150,20.977462,52.266086,2017-10-02 23:59:55
178,2,20.90395,52.185601,2017-10-03 00:00:02
154,3,20.898079,52.254733,2017-10-02 23:59:57
L25,1,21.217553,51.9816291,2017-10-02 23:22:07
N41,181,21.002087,52.243102,2017-10-03 00:00:03
N25,193,21.068791,52.229995,2017-10-03 00:00:03
178,6,20.982663,52.230233,2017-10-03 00:00:01
197,2,20.923289999999998,52.196524,2017-10-03 00:00:04
147,3,21.149525,52.200925,2017-10-02 23:59:51
147,2,21.054102,52.25425,2017-10-02 23:59:53
N72,214,21.204473,52.159378000000004,2017-10-03 00:00:00
N24,1,21.084265,52.24445,2017-10-02 23:59:50
N71,185,21.113258,52.233290000000004,2017-10-02 23:59:58
N95,192,21.005463,52.217385,2017-10-02 23:59:57
115,4,21.133592999999998,52.231472,2017-10-03 00:00:00
147,5,21.243275,52.221317,2017-10-02 23:59:52
720,054,21.463072,52.13286,2017-10-02 23:59:36
N71,284,21.0396,52.250772999999995,2017-10-02 23:59:49
198,4,21.223537,52.253802,2017-10-02 23:59:55
N31,232,21.010015,52.229618,2017-10-02 23:59:50
N81,152,21.117715,52.233397,2017-10-02 23:59:57
L30,2,21.130739000000002,51.959915,2017-09-07 18:02:06
L30,2,21.216896,51.981678,2017-09-06 08:50:44
L28,1,21.124192999999998,52.019611,2017-09-11 12:33:40
L30,1,21.1098,51.955227,2017-09-11 12:33:34
N45,126,20.971891,52.234581,2017-10-03 00:00:00
N03,202,21.052313,52.247408,2017-10-03 00:00:00
734,1,21.060103,52.448886,2017-10-03 00:00:04
N02,4,20.926367000000003,52.290385,2017-10-03 00:00:02
132,1,21.037967000000002,52.269065000000005,2017-10-03 00:00:00
N03,4,21.047829999999998,52.263785999999996,2017-10-02 23:59:56
N02,2,21.035725,52.255148,2017-10-03 00:00:02
N66,197,21.034793,52.254498,2017-10-02 23:59:56
N37,243,21.024271,52.193661,2017-10-02 23:59:55
N25,1,21.010254999999997,52.229673999999996,2017-10-02 23:59:53
N24,2,21.001864,52.228689,2017-10-03 00:00:02
N16,199,21.004788,52.22276,2017-10-02 23:59:59
146,2,21.191226999999998,52.157161,2017-10-02 23:59:59
146,3,21.113682,52.234243,2017-10-03 00:00:01
N12,208,20.999343,52.231035,2017-10-03 00:00:02
146,1,21.090914,52.2218,2017-10-03 00:00:02
198,1,21.243248,52.221654,2017-10-02 23:58:02
173,2,21.048468,52.247434999999996,2017-10-02 23:59:58
N32,1,20.987944,52.209565000000005,2017-10-03 00:00:05
183,5,21.137688,52.243544,2017-10-02 23:59:59
159,7,21.085168,52.193252,2017-10-03 00:00:02
N62,127,21.057066,52.264751000000004,2017-10-03 00:00:03
183,2,21.169971,52.251912,2017-10-03 00:00:00
N16,198,21.080457,52.277305,2017-10-02 23:59:55
120,6,21.066474,52.313448,2017-10-03 00:00:00
167,013,20.944132999999997,52.206633000000004,2017-10-02 23:59:51
191,4,20.984864,52.219223,2017-10-02 23:59:55
191,3,20.906605,52.192735,2017-10-03 00:00:03
L20,51,21.410662,52.135065999999995,2017-07-30 17:18:02
L20,1,21.301156,52.162206,2017-10-02 23:08:55
191,2,20.910488,52.195474,2017-10-03 00:00:03
136,4,20.920748,52.197209,2017-09-15 14:43:24
128,10,20.971346,52.220126,2017-10-03 00:00:03
N81,251,21.047769,52.206913,2017-10-02 23:59:58
190,14,20.920586,52.24007,2017-10-02 23:59:56
N42,340,20.898997,52.238994,2017-10-03 00:00:03
190,10,20.921799,52.19696,2017-10-02 23:59:48
713,2,20.931059,52.225316,2017-10-03 00:00:02
N42,218,20.905296,52.238871,2017-10-02 23:59:54
719,1,20.721577,52.255102,2017-10-02 15:56:58
N88,176,20.953826,52.185527,2017-10-03 00:00:04
401,7,20.896202,52.201288,2017-10-02 23:59:55
